age,monthly_income,loan_amount,loan_tenure_months,existing_emis,credit_score,dependents,work_experience_years,emi_to_income_ratio,loan_to_income_ratio,employment_type,employer_type,loan_type,city_tier,residential_status,payment_history,marital_status,gender,eligible
25,25000,994177,24,10000,720,4,4,2.057,3.3139,Business Owner,Not Applicable,Business Loan,Metro,Parental,Clean,Widowed,Male,0
21,15000,2557524,180,2000,676,0,5,1.0806,14.2085,Self Employed,Not Applicable,Personal Loan,Tier 3,Company Provided,Minor Delay,Divorced,Female,0
50,15000,2542013,36,5000,565,4,6,5.0,14.1223,Freelancer,Public Sector,Education Loan,Tier 1,Rented,Minor Delay,Widowed,Male,0
23,25000,1586377,240,10000,663,3,2,0.6644,5.2879,Self Employed,Startup,Personal Loan,Metro,Company Provided,Clean,Married,Male,0
34,15000,100151,48,0,569,1,3,0.1391,0.5564,Retired,Private Indian,Vehicle Loan,Tier 2,Rented,Clean,Divorced,Female,1
50,15000,1690248,36,0,647,1,7,3.1301,9.3903,Salaried,NGO,Personal Loan,Tier 1,Company Provided,Minor Delay,Married,Female,0
24,40000,412009,84,20000,603,3,5,0.6226,0.8584,Salaried,Public Sector,Business Loan,Tier 1,Parental,Clean,Single,Female,0
38,15000,2704981,240,0,761,0,4,0.7514,15.0277,Salaried,NGO,Home Loan,Tier 3,Rented,Clean,Single,Female,0
57,8000,122847,120,20000,724,1,13,2.628,1.2797,Salaried,Not Applicable,Personal Loan,Tier 2,Owned,Clean,Married,Female,0
45,25000,2889611,48,20000,823,3,0,3.208,9.632,Student,Private MNC,Personal Loan,Tier 2,Parental,Serious Default,Married,Female,0
21,15000,2358963,36,2000,626,1,10,4.5018,13.1054,Student,Government,Personal Loan,Metro,Parental,Clean,Widowed,Female,0
35,40000,2984539,48,10000,709,4,8,1.8044,6.2178,Unemployed,NGO,Vehicle Loan,Metro,Company Provided,Clean,Widowed,Female,0
29,15000,543570,36,2000,611,1,9,1.1399,3.0198,Salaried,Public Sector,Personal Loan,Tier 2,Owned,Clean,Single,Male,0
35,60000,1026446,36,20000,649,4,1,0.8085,1.4256,Salaried,NGO,Education Loan,Metro,Rented,Clean,Divorced,Female,0
44,90000,473359,240,10000,668,4,5,0.133,0.4383,Unemployed,Public Sector,Business Loan,Tier 1,Owned,Clean,Single,Male,1
24,60000,742101,48,0,857,1,9,0.2577,1.0307,Self Employed,Not Applicable,Education Loan,Tier 1,Company Provided,Clean,Divorced,Male,1
32,40000,567649,240,5000,729,1,5,0.1841,1.1826,Student,Government,Education Loan,Tier 1,Parental,Clean,Widowed,Male,1
57,90000,149919,60,5000,689,4,0,0.0833,0.1388,Salaried,Private MNC,Vehicle Loan,Metro,Owned,Minor Delay,Widowed,Male,1
57,40000,1315322,120,0,786,1,6,0.274,2.7403,Salaried,NGO,Personal Loan,Tier 2,Rented,Clean,Widowed,Male,1
63,8000,1141838,60,35000,753,0,7,5.0,11.8941,Student,Private Indian,Business Loan,Tier 3,Rented,Clean,Divorced,Male,0
26,25000,594893,12,2000,695,2,11,2.063,1.983,Student,Private MNC,Business Loan,Metro,Parental,Major Delay,Widowed,Female,0
59,60000,2750030,24,5000,754,2,13,1.9931,3.8195,Retired,Government,Business Loan,Tier 3,Company Provided,Clean,Divorced,Male,1
44,25000,2437527,60,0,675,3,8,1.625,8.1251,Salaried,NGO,Personal Loan,Tier 2,Parental,Major Delay,Divorced,Female,0
31,8000,1702261,84,5000,900,2,10,3.1581,17.7319,Retired,Public Sector,Business Loan,Tier 1,Owned,Clean,Divorced,Male,0
33,60000,1898523,120,10000,797,0,13,0.4304,2.6368,Salaried,Private Indian,Business Loan,Tier 1,Company Provided,Clean,Divorced,Female,1
54,60000,1447931,24,5000,667,2,7,1.0888,2.011,Salaried,Private MNC,Home Loan,Tier 2,Rented,Major Delay,Widowed,Male,0
45,15000,481838,240,10000,760,2,10,0.8005,2.6769,Self Employed,Private MNC,Home Loan,Tier 1,Company Provided,Clean,Widowed,Male,0
27,40000,1901608,84,10000,743,0,0,0.816,3.9617,Retired,Private Indian,Business Loan,Tier 2,Company Provided,Minor Delay,Single,Female,0
24,15000,905742,24,0,722,4,5,2.516,5.0319,Salaried,Private MNC,Education Loan,Tier 1,Owned,Clean,Widowed,Female,0
28,60000,2037881,24,2000,741,2,16,1.4485,2.8304,Self Employed,Government,Personal Loan,Tier 1,Parental,Clean,Divorced,Male,1
40,25000,2315919,36,0,635,3,13,2.5732,7.7197,Business Owner,Private Indian,Education Loan,Metro,Owned,Clean,Married,Male,0
49,25000,2044933,12,0,665,2,12,5.0,6.8164,Self Employed,Government,Education Loan,Metro,Rented,Minor Delay,Divorced,Female,0
30,60000,1758365,240,0,832,2,3,0.1221,2.4422,Salaried,Private Indian,Personal Loan,Tier 3,Parental,Minor Delay,Married,Male,1
63,40000,709966,48,20000,716,0,0,0.8698,1.4791,Salaried,Government,Personal Loan,Metro,Company Provided,Minor Delay,Divorced,Male,0
54,40000,1575608,60,35000,643,0,3,1.5315,3.2825,Retired,Public Sector,Vehicle Loan,Tier 3,Owned,Major Delay,Married,Female,0
46,25000,745494,120,0,688,3,8,0.2485,2.485,Self Employed,Public Sector,Vehicle Loan,Tier 2,Company Provided,Clean,Married,Female,1
61,25000,2610331,12,2000,657,1,10,5.0,8.7011,Freelancer,Private MNC,Vehicle Loan,Tier 3,Owned,Minor Delay,Single,Male,0
23,40000,1996788,36,0,771,0,15,1.3867,4.16,Salaried,Private Indian,Business Loan,Tier 2,Rented,Clean,Married,Male,0
26,15000,206547,36,10000,655,1,1,1.0492,1.1475,Salaried,NGO,Business Loan,Tier 3,Rented,Clean,Single,Female,0
25,25000,2999761,24,2000,703,3,5,5.0,9.9992,Salaried,Private Indian,Business Loan,Tier 1,Owned,Clean,Divorced,Male,0
25,15000,2824242,180,5000,646,2,16,1.3793,15.6902,Salaried,Government,Vehicle Loan,Tier 2,Rented,Minor Delay,Divorced,Male,0
43,40000,1250761,60,5000,876,2,0,0.6462,2.6058,Salaried,NGO,Personal Loan,Tier 1,Company Provided,Clean,Married,Female,1
29,90000,105746,12,10000,750,1,9,0.209,0.0979,Salaried,Private MNC,Business Loan,Metro,Parental,Minor Delay,Divorced,Male,1
55,150000,1921826,24,2000,747,3,0,0.5472,1.0677,Business Owner,Not Applicable,Personal Loan,Tier 2,Owned,Clean,Widowed,Female,1
40,40000,2315545,12,0,755,3,6,4.8241,4.8241,Unemployed,Private MNC,Vehicle Loan,Tier 2,Company Provided,Minor Delay,Widowed,Female,0
62,25000,2430605,84,0,668,0,17,1.1574,8.102,Unemployed,Not Applicable,Personal Loan,Metro,Owned,Major Delay,Widowed,Male,0
55,25000,2034768,240,2000,821,1,10,0.4191,6.7826,Student,NGO,Business Loan,Tier 2,Parental,Clean,Divorced,Female,1
38,60000,2437472,120,20000,694,0,14,0.6719,3.3854,Business Owner,Private Indian,Personal Loan,Metro,Rented,Clean,Widowed,Male,0
37,15000,643167,60,2000,841,1,10,0.848,3.5732,Salaried,Not Applicable,Vehicle Loan,Tier 1,Parental,Clean,Single,Female,1
44,150000,1690456,36,0,674,0,10,0.313,0.9391,Salaried,Public Sector,Business Loan,Tier 1,Parental,Clean,Divorced,Male,1
23,25000,1445448,180,20000,757,0,0,1.1212,4.8182,Salaried,Not Applicable,Business Loan,Metro,Owned,Clean,Widowed,Female,0
52,150000,2025496,48,0,713,3,18,0.2813,1.1253,Unemployed,Private Indian,Vehicle Loan,Metro,Parental,Minor Delay,Divorced,Male,1
55,60000,1820358,240,0,721,3,16,0.1264,2.5283,Salaried,Not Applicable,Education Loan,Tier 1,Rented,Clean,Widowed,Male,1
58,60000,845016,60,20000,566,2,4,0.5681,1.1736,Salaried,NGO,Home Loan,Metro,Owned,Clean,Single,Female,0
33,25000,698843,84,10000,621,2,15,0.7328,2.3295,Salaried,Private Indian,Vehicle Loan,Tier 2,Rented,Clean,Married,Male,0
45,8000,958840,60,2000,820,3,13,2.2476,9.9879,Student,Startup,Personal Loan,Tier 1,Parental,Clean,Single,Male,0
29,25000,840023,120,10000,596,3,11,0.68,2.8001,Unemployed,Government,Education Loan,Metro,Parental,Clean,Married,Female,0
24,25000,1192454,120,10000,771,0,9,0.7975,3.9748,Salaried,Government,Vehicle Loan,Metro,Rented,Minor Delay,Widowed,Male,0
34,8000,691157,12,0,900,2,7,5.0,7.1996,Salaried,Startup,Home Loan,Tier 2,Owned,Serious Default,Single,Female,0
57,40000,2404868,24,5000,744,3,16,2.6301,5.0101,Salaried,Private MNC,Business Loan,Tier 3,Parental,Minor Delay,Married,Female,0
54,25000,2954979,120,5000,870,1,8,1.185,9.8499,Salaried,NGO,Home Loan,Tier 3,Company Provided,Clean,Single,Female,1
31,40000,2070262,180,35000,755,1,10,1.1625,4.313,Salaried,Government,Home Loan,Metro,Parental,Minor Delay,Divorced,Male,0
61,40000,1232279,48,35000,721,2,16,1.5168,2.5672,Salaried,Private MNC,Vehicle Loan,Metro,Parental,Minor Delay,Married,Male,0
23,15000,1771841,84,2000,729,1,13,1.5396,9.8436,Business Owner,Public Sector,Business Loan,Metro,Company Provided,Minor Delay,Widowed,Female,0
48,150000,1641920,36,5000,685,0,1,0.3374,0.9122,Salaried,Private MNC,Business Loan,Tier 1,Owned,Minor Delay,Divorced,Male,1
49,15000,2786756,120,0,683,2,5,1.5482,15.482,Student,Government,Home Loan,Tier 1,Owned,Clean,Widowed,Female,0
29,25000,2105162,36,0,657,3,3,2.3391,7.0172,Salaried,NGO,Vehicle Loan,Metro,Parental,Clean,Widowed,Male,0
23,40000,2837959,120,2000,733,1,10,0.6412,5.9124,Student,NGO,Business Loan,Metro,Company Provided,Clean,Divorced,Male,1
45,60000,873622,180,5000,876,0,5,0.1642,1.2134,Freelancer,Private MNC,Business Loan,Tier 3,Owned,Clean,Married,Female,1
54,15000,76014,36,5000,813,3,6,0.4741,0.4223,Retired,Not Applicable,Personal Loan,Tier 3,Company Provided,Clean,Divorced,Male,1
32,25000,1826935,24,2000,716,4,6,3.1249,6.0898,Freelancer,Public Sector,Home Loan,Metro,Company Provided,Serious Default,Widowed,Male,0
62,40000,231350,84,10000,749,0,9,0.3189,0.482,Self Employed,Startup,Education Loan,Metro,Company Provided,Minor Delay,Single,Male,1
29,15000,2935364,48,10000,693,1,6,4.7436,16.3076,Self Employed,Government,Home Loan,Tier 3,Company Provided,Clean,Married,Female,0
35,40000,534859,180,10000,813,0,12,0.3243,1.1143,Salaried,NGO,Vehicle Loan,Tier 1,Rented,Clean,Single,Male,1
60,90000,764618,24,0,569,4,2,0.354,0.708,Salaried,Public Sector,Business Loan,Tier 3,Parental,Minor Delay,Married,Female,0
45,150000,540339,48,10000,854,4,0,0.1417,0.3002,Salaried,Private Indian,Business Loan,Tier 1,Rented,Clean,Married,Male,1
25,8000,92192,24,20000,656,0,4,2.9802,0.9603,Salaried,Startup,Personal Loan,Tier 1,Company Provided,Minor Delay,Single,Male,0
31,25000,941307,24,0,669,3,2,1.5688,3.1377,Salaried,Startup,Business Loan,Metro,Owned,Clean,Widowed,Male,0
54,25000,1058008,24,2000,602,3,8,1.8433,3.5267,Salaried,Not Applicable,Business Loan,Tier 3,Owned,Minor Delay,Divorced,Male,0
44,25000,1459849,12,35000,712,4,6,5.0,4.8662,Retired,Not Applicable,Education Loan,Tier 2,Rented,Minor Delay,Single,Male,0
35,25000,93923,48,5000,645,2,1,0.2783,0.3131,Retired,Government,Home Loan,Metro,Company Provided,Clean,Widowed,Male,1
58,15000,1712060,24,5000,793,2,1,5.0,9.5114,Business Owner,Public Sector,Business Loan,Tier 2,Company Provided,Serious Default,Single,Other,0
28,150000,2144968,240,0,754,3,8,0.0596,1.1916,Salaried,NGO,Vehicle Loan,Metro,Owned,Clean,Divorced,Female,1
25,90000,1625259,240,5000,644,2,12,0.1308,1.5049,Salaried,Not Applicable,Education Loan,Tier 1,Parental,Clean,Divorced,Female,1
46,8000,2899896,120,2000,629,3,4,3.2707,30.2072,Salaried,NGO,Education Loan,Tier 3,Rented,Minor Delay,Married,Female,0
38,25000,1507571,84,0,648,1,7,0.7179,5.0252,Self Employed,Private Indian,Personal Loan,Tier 1,Rented,Minor Delay,Single,Male,0
26,25000,2742468,36,2000,624,3,4,3.1272,9.1416,Student,NGO,Vehicle Loan,Tier 2,Parental,Serious Default,Single,Male,0
57,25000,997226,120,0,677,1,7,0.3324,3.3241,Salaried,Public Sector,Education Loan,Tier 3,Company Provided,Clean,Married,Female,1
33,40000,816751,12,10000,632,4,16,1.9516,1.7016,Self Employed,NGO,Home Loan,Tier 1,Owned,Clean,Widowed,Female,0
48,40000,715344,240,35000,793,2,20,0.9495,1.4903,Business Owner,Private MNC,Vehicle Loan,Tier 3,Rented,Clean,Widowed,Male,1
25,60000,2113632,48,2000,660,4,5,0.7672,2.9356,Salaried,NGO,Home Loan,Metro,Rented,Clean,Married,Female,0
33,60000,1353891,84,5000,746,0,5,0.352,1.8804,Student,Government,Personal Loan,Metro,Company Provided,Minor Delay,Widowed,Male,1
37,40000,2593071,84,2000,746,0,10,0.8217,5.4022,Salaried,Private MNC,Personal Loan,Metro,Parental,Clean,Widowed,Female,1
60,40000,1393297,36,0,551,4,8,0.9676,2.9027,Student,NGO,Business Loan,Tier 2,Owned,Clean,Widowed,Male,0
52,25000,188783,48,35000,757,3,11,1.5573,0.6293,Self Employed,NGO,Home Loan,Metro,Company Provided,Minor Delay,Married,Male,0
49,40000,1591661,36,0,563,3,7,1.1053,3.316,Salaried,NGO,Home Loan,Tier 3,Rented,Clean,Divorced,Male,0
23,40000,545187,84,0,633,2,7,0.1623,1.1358,Salaried,Private MNC,Personal Loan,Tier 3,Owned,Clean,Married,Male,1
60,15000,1951563,12,2000,753,4,10,5.0,10.842,Salaried,NGO,Home Loan,Tier 1,Company Provided,Major Delay,Single,Female,0
54,25000,1304660,180,5000,709,0,9,0.4899,4.3489,Salaried,Not Applicable,Vehicle Loan,Tier 1,Rented,Minor Delay,Single,Female,1
60,25000,2941838,180,2000,672,4,5,0.7337,9.8061,Student,Startup,Business Loan,Tier 2,Owned,Clean,Single,Male,0
47,90000,437554,240,0,557,4,8,0.0203,0.4051,Unemployed,NGO,Business Loan,Tier 2,Company Provided,Minor Delay,Widowed,Female,1
33,25000,2900467,84,10000,777,2,8,1.7812,9.6682,Business Owner,Not Applicable,Vehicle Loan,Tier 1,Rented,Minor Delay,Single,Male,0
53,25000,2617488,12,2000,734,3,0,5.0,8.725,Self Employed,Startup,Education Loan,Metro,Owned,Clean,Widowed,Female,0
26,25000,2512321,36,0,631,0,7,2.7915,8.3744,Salaried,Private MNC,Home Loan,Tier 3,Owned,Minor Delay,Widowed,Male,0
44,40000,180509,12,2000,623,2,12,0.4261,0.3761,Salaried,NGO,Education Loan,Metro,Rented,Minor Delay,Widowed,Male,1
39,15000,2909224,60,0,782,0,5,3.2325,16.1624,Salaried,Not Applicable,Education Loan,Tier 1,Owned,Clean,Single,Male,0
36,150000,1393683,36,5000,724,0,4,0.2914,0.7743,Salaried,Public Sector,Home Loan,Tier 2,Owned,Clean,Single,Male,1
60,90000,2110056,24,5000,591,3,4,1.0324,1.9538,Salaried,Not Applicable,Personal Loan,Tier 3,Parental,Clean,Single,Male,0
48,40000,2674713,36,10000,641,3,9,2.1074,5.5723,Self Employed,Government,Home Loan,Metro,Parental,Clean,Widowed,Male,0
53,40000,589618,240,0,856,2,3,0.0614,1.2284,Salaried,NGO,Personal Loan,Tier 2,Parental,Clean,Widowed,Male,1
61,8000,2299718,180,0,780,1,9,1.597,23.9554,Student,Government,Vehicle Loan,Tier 1,Company Provided,Clean,Divorced,Female,0
33,25000,2747862,36,0,700,2,8,3.0532,9.1595,Salaried,Public Sector,Personal Loan,Tier 2,Company Provided,Clean,Divorced,Male,0
63,60000,958521,24,0,701,2,1,0.6656,1.3313,Salaried,Private MNC,Education Loan,Metro,Parental,Minor Delay,Married,Male,0
45,8000,53212,60,0,525,1,12,0.1109,0.5543,Business Owner,Government,Education Loan,Tier 2,Owned,Major Delay,Married,Female,0
62,25000,282131,12,2000,804,0,14,1.0204,0.9404,Freelancer,NGO,Education Loan,Metro,Rented,Minor Delay,Widowed,Male,0
56,40000,526657,48,0,663,4,9,0.2743,1.0972,Student,Startup,Personal Loan,Tier 2,Company Provided,Clean,Married,Male,1
47,25000,1710458,180,5000,635,1,8,0.5801,5.7015,Self Employed,Private Indian,Education Loan,Tier 2,Rented,Clean,Divorced,Female,0
58,90000,1120583,12,2000,759,4,5,1.0598,1.0376,Salaried,Startup,Business Loan,Tier 3,Parental,Minor Delay,Divorced,Female,1
27,15000,688093,60,0,649,0,5,0.7645,3.8227,Student,Public Sector,Home Loan,Metro,Rented,Clean,Widowed,Male,0
25,60000,883247,48,2000,554,1,5,0.34,1.2267,Student,Not Applicable,Education Loan,Tier 2,Rented,Clean,Married,Female,1
63,40000,1885647,84,0,732,3,11,0.5612,3.9284,Student,Private Indian,Personal Loan,Metro,Owned,Minor Delay,Widowed,Female,0
51,60000,375737,120,5000,578,2,10,0.1355,0.5219,Retired,Government,Education Loan,Metro,Owned,Clean,Married,Female,1
43,25000,2225190,240,2000,695,1,0,0.4509,7.4173,Salaried,NGO,Personal Loan,Tier 1,Rented,Clean,Widowed,Female,0
62,40000,1070998,12,0,725,1,0,2.2312,2.2312,Retired,Government,Home Loan,Metro,Owned,Minor Delay,Divorced,Female,0
30,60000,1454619,48,2000,677,0,3,0.5384,2.0203,Student,Private Indian,Personal Loan,Metro,Parental,Minor Delay,Single,Female,0
52,40000,2937320,84,0,678,3,5,0.8742,6.1194,Self Employed,Government,Home Loan,Tier 2,Parental,Clean,Married,Male,0
63,25000,1876370,120,10000,824,1,10,1.0255,6.2546,Unemployed,Private Indian,Education Loan,Tier 2,Rented,Major Delay,Widowed,Female,0
50,40000,703059,120,35000,825,3,5,1.0215,1.4647,Business Owner,Private MNC,Business Loan,Metro,Company Provided,Clean,Divorced,Female,1
59,60000,1224377,180,0,626,4,10,0.1134,1.7005,Salaried,Public Sector,Education Loan,Tier 1,Rented,Major Delay,Divorced,Male,1
51,25000,2050099,180,5000,652,1,15,0.6556,6.8337,Self Employed,NGO,Home Loan,Metro,Company Provided,Clean,Divorced,Male,0
38,90000,944030,180,0,656,3,5,0.0583,0.8741,Retired,Startup,Vehicle Loan,Tier 3,Company Provided,Clean,Single,Female,1
56,25000,2758063,180,0,697,2,3,0.6129,9.1935,Self Employed,Private Indian,Vehicle Loan,Tier 1,Company Provided,Clean,Widowed,Female,0
22,40000,1323673,180,0,693,0,2,0.1838,2.7577,Self Employed,Not Applicable,Vehicle Loan,Metro,Parental,Clean,Single,Female,1
34,60000,2446116,84,20000,837,3,2,0.8187,3.3974,Self Employed,Private Indian,Education Loan,Metro,Rented,Clean,Widowed,Male,1
33,40000,771167,240,2000,685,0,10,0.1303,1.6066,Salaried,Private MNC,Personal Loan,Metro,Company Provided,Clean,Divorced,Female,1
49,90000,1379134,36,35000,617,1,11,0.8145,1.277,Business Owner,Not Applicable,Business Loan,Metro,Rented,Minor Delay,Widowed,Male,0
32,150000,2171372,84,2000,652,1,11,0.1857,1.2063,Self Employed,NGO,Business Loan,Tier 1,Owned,Clean,Divorced,Male,1
59,25000,2731971,60,0,729,4,2,1.8213,9.1066,Salaried,NGO,Education Loan,Tier 3,Owned,Serious Default,Widowed,Male,0
22,15000,1470722,180,10000,679,0,6,1.2114,8.1707,Retired,Startup,Home Loan,Tier 2,Company Provided,Clean,Married,Female,0
52,8000,557409,48,20000,725,2,6,3.9516,5.8063,Student,Private MNC,Education Loan,Tier 2,Parental,Clean,Single,Male,0
33,60000,2844937,48,10000,680,2,16,1.1545,3.9513,Salaried,Private MNC,Vehicle Loan,Metro,Parental,Minor Delay,Single,Male,0
47,90000,2156539,60,10000,757,3,9,0.5105,1.9968,Business Owner,Public Sector,Home Loan,Metro,Company Provided,Clean,Single,Female,1
61,15000,2392904,84,2000,692,2,8,2.0325,13.2939,Salaried,Government,Business Loan,Metro,Parental,Clean,Married,Male,0
37,15000,2748255,48,0,602,0,9,3.817,15.2681,Self Employed,NGO,Education Loan,Metro,Parental,Minor Delay,Married,Male,0
60,8000,601872,24,0,672,1,5,3.1348,6.2695,Salaried,NGO,Personal Loan,Metro,Company Provided,Clean,Divorced,Male,0
51,60000,619071,24,2000,876,0,10,0.4632,0.8598,Self Employed,Startup,Personal Loan,Tier 1,Parental,Minor Delay,Divorced,Female,1
54,25000,1793745,36,35000,798,0,5,3.393,5.9792,Salaried,Private MNC,Business Loan,Tier 2,Owned,Clean,Single,Female,0
44,25000,759687,24,10000,607,1,15,1.6661,2.5323,Salaried,Not Applicable,Home Loan,Metro,Rented,Serious Default,Married,Male,0
55,40000,698782,12,10000,842,0,3,1.7058,1.4558,Salaried,Government,Vehicle Loan,Metro,Company Provided,Clean,Married,Male,1
26,60000,300139,180,0,710,2,8,0.0278,0.4169,Business Owner,Not Applicable,Personal Loan,Metro,Parental,Minor Delay,Single,Female,1
39,40000,2015760,60,5000,660,3,11,0.9649,4.1995,Salaried,Government,Personal Loan,Metro,Parental,Major Delay,Widowed,Male,0
50,40000,550228,12,20000,677,3,7,1.6463,1.1463,Salaried,Government,Education Loan,Tier 2,Company Provided,Clean,Divorced,Male,0
27,15000,1764793,240,2000,704,0,8,0.6236,9.8044,Salaried,NGO,Business Loan,Metro,Owned,Clean,Divorced,Male,1
30,40000,1796197,180,2000,786,1,6,0.2995,3.7421,Salaried,Not Applicable,Personal Loan,Tier 2,Owned,Clean,Widowed,Female,1
61,60000,984499,48,10000,715,4,3,0.5085,1.3674,Salaried,Not Applicable,Education Loan,Metro,Owned,Minor Delay,Single,Female,0
52,150000,1345085,180,5000,726,0,16,0.0832,0.7473,Salaried,Government,Home Loan,Tier 1,Owned,Minor Delay,Married,Male,1
54,15000,63580,120,35000,796,0,6,2.3687,0.3532,Retired,Public Sector,Personal Loan,Tier 1,Rented,Clean,Divorced,Female,0
48,8000,1641104,120,2000,668,4,1,1.9595,17.0948,Business Owner,Public Sector,Business Loan,Tier 1,Company Provided,Serious Default,Married,Female,0
35,8000,828639,12,0,724,3,4,5.0,8.6317,Business Owner,Private MNC,Education Loan,Tier 2,Rented,Minor Delay,Single,Female,0
50,25000,518968,84,2000,735,3,14,0.3271,1.7299,Self Employed,Government,Home Loan,Tier 3,Owned,Clean,Single,Female,1
57,60000,940965,48,0,710,4,19,0.3267,1.3069,Student,Not Applicable,Education Loan,Metro,Owned,Minor Delay,Divorced,Female,1
49,8000,828559,24,5000,739,1,9,4.9404,8.6308,Self Employed,Private MNC,Vehicle Loan,Tier 2,Company Provided,Clean,Single,Male,0
42,40000,2062191,120,0,644,0,11,0.4296,4.2962,Salaried,Private Indian,Business Loan,Tier 1,Parental,Minor Delay,Single,Female,0
24,25000,1582239,240,20000,778,2,17,1.0637,5.2741,Student,NGO,Business Loan,Tier 3,Company Provided,Clean,Married,Male,0
40,8000,2575234,60,20000,655,3,3,5.0,26.8254,Salaried,Public Sector,Personal Loan,Tier 3,Rented,Minor Delay,Widowed,Female,0
52,40000,655262,180,0,736,3,9,0.091,1.3651,Student,Public Sector,Education Loan,Metro,Parental,Clean,Single,Male,1
56,25000,1696265,60,0,716,3,17,1.1308,5.6542,Salaried,NGO,Home Loan,Tier 3,Owned,Minor Delay,Divorced,Female,0
24,25000,2360317,120,5000,645,1,12,0.9868,7.8677,Salaried,Startup,Personal Loan,Tier 2,Company Provided,Clean,Divorced,Male,0
47,60000,455427,120,10000,829,4,6,0.2299,0.6325,Retired,Private Indian,Business Loan,Tier 3,Parental,Minor Delay,Married,Male,1
37,40000,502201,240,0,837,1,9,0.0523,1.0463,Salaried,Not Applicable,Education Loan,Tier 2,Company Provided,Serious Default,Single,Female,1
32,15000,1262916,36,0,626,3,17,2.3387,7.0162,Salaried,Public Sector,Home Loan,Metro,Owned,Minor Delay,Widowed,Male,0
42,150000,760731,12,5000,763,0,8,0.456,0.4226,Salaried,Not Applicable,Business Loan,Tier 2,Rented,Minor Delay,Single,Female,1
37,40000,2452112,24,5000,690,3,3,2.6793,5.1086,Business Owner,Government,Home Loan,Tier 2,Parental,Clean,Divorced,Male,0
30,60000,1404832,84,0,646,0,11,0.2787,1.9512,Salaried,NGO,Education Loan,Metro,Parental,Clean,Married,Female,1
21,8000,2070991,240,10000,729,0,3,2.3286,21.5728,Business Owner,Government,Home Loan,Tier 2,Parental,Clean,Single,Female,0
42,8000,1231426,36,35000,766,3,4,5.0,12.8274,Unemployed,NGO,Personal Loan,Tier 2,Rented,Clean,Widowed,Male,0
46,8000,2143787,24,0,712,3,5,5.0,22.3311,Salaried,Not Applicable,Personal Loan,Tier 3,Rented,Clean,Married,Male,0
38,15000,1955734,12,5000,670,0,7,5.0,10.8652,Business Owner,Government,Education Loan,Tier 2,Parental,Clean,Married,Male,0
34,25000,2883352,24,0,806,1,3,4.8056,9.6112,Student,NGO,Business Loan,Tier 1,Parental,Clean,Divorced,Female,0
49,90000,1072805,36,0,809,1,10,0.3311,0.9933,Student,Not Applicable,Vehicle Loan,Tier 3,Parental,Serious Default,Divorced,Male,1
32,40000,994793,120,0,645,1,6,0.2072,2.0725,Salaried,Not Applicable,Vehicle Loan,Tier 2,Owned,Minor Delay,Widowed,Male,1
56,25000,356932,24,2000,707,2,12,0.6749,1.1898,Freelancer,Private MNC,Vehicle Loan,Metro,Company Provided,Clean,Divorced,Female,0
55,40000,2414043,60,10000,573,0,8,1.2559,5.0293,Retired,Public Sector,Business Loan,Metro,Owned,Clean,Single,Male,0
32,15000,2671485,24,5000,766,2,7,5.0,14.8416,Retired,Private MNC,Personal Loan,Tier 2,Owned,Clean,Single,Female,0
27,40000,1630622,120,0,806,2,7,0.3397,3.3971,Salaried,Not Applicable,Personal Loan,Metro,Rented,Minor Delay,Married,Female,1
49,40000,961508,180,0,731,0,15,0.1335,2.0031,Salaried,Public Sector,Personal Loan,Tier 3,Parental,Clean,Widowed,Male,1
31,60000,1777373,180,5000,617,2,12,0.2479,2.4686,Salaried,Startup,Education Loan,Tier 3,Owned,Major Delay,Divorced,Female,1
53,150000,190926,180,0,829,0,0,0.0071,0.1061,Salaried,Private MNC,Personal Loan,Metro,Parental,Clean,Married,Female,1
26,25000,233148,240,2000,862,4,5,0.1189,0.7772,Salaried,Public Sector,Personal Loan,Metro,Rented,Major Delay,Married,Female,1
35,40000,893382,12,5000,665,4,8,1.9862,1.8612,Unemployed,Startup,Personal Loan,Tier 1,Owned,Major Delay,Widowed,Female,0
52,90000,2819861,12,20000,735,0,0,2.8332,2.611,Salaried,Not Applicable,Vehicle Loan,Metro,Parental,Minor Delay,Divorced,Female,0
31,60000,1775284,24,0,765,0,10,1.2328,2.4657,Unemployed,Public Sector,Home Loan,Tier 1,Rented,Major Delay,Widowed,Female,0
43,40000,1263944,84,5000,762,0,3,0.5012,2.6332,Salaried,Private Indian,Personal Loan,Tier 1,Rented,Minor Delay,Widowed,Male,1
46,90000,544496,12,0,703,1,4,0.5042,0.5042,Self Employed,NGO,Home Loan,Tier 2,Owned,Clean,Divorced,Female,1
54,8000,69455,60,5000,843,0,4,0.7697,0.7235,Salaried,Private MNC,Personal Loan,Tier 3,Rented,Serious Default,Single,Female,0
54,90000,2881336,60,5000,574,3,14,0.5891,2.6679,Business Owner,Government,Vehicle Loan,Tier 1,Company Provided,Clean,Married,Female,1
49,8000,2070101,48,10000,575,4,11,5.0,21.5636,Self Employed,Startup,Vehicle Loan,Tier 2,Rented,Clean,Married,Male,0
24,40000,1563715,60,5000,698,4,5,0.7765,3.2577,Self Employed,Startup,Home Loan,Metro,Owned,Clean,Single,Female,0
